Date,JPYINR18SEPFUT O,JPYINR18SEPFUT H,JPYINR18SEPFUT L,JPYINR18SEPFUT C,JPYINR18SEPFUT V
9/14/2018 11:27:00 AM,64.2675,64.2675,64.2675,64.2675,0
9/14/2018 11:26:00 AM,64.27,64.28,64.2675,64.2675,31
9/14/2018 11:25:00 AM,64.2725,64.2725,64.27,64.27,2
9/14/2018 11:24:00 AM,64.29,64.29,64.2725,64.2725,3
9/14/2018 11:23:00 AM,64.295,64.295,64.29,64.29,11
9/14/2018 11:22:00 AM,64.3,64.3,64.295,64.295,15
9/14/2018 11:21:00 AM,64.31,64.31,64.3,64.3,45
9/14/2018 11:20:00 AM,64.295,64.31,64.295,64.31,56
9/14/2018 11:19:00 AM,64.285,64.295,64.285,64.295,30
9/14/2018 11:18:00 AM,64.2925,64.2925,64.285,64.285,40
9/14/2018 11:17:00 AM,64.29,64.2925,64.29,64.2925,35
9/14/2018 11:16:00 AM,64.29,64.29,64.2875,64.29,9
9/14/2018 11:15:00 AM,64.29,64.29,64.29,64.29,3
9/14/2018 11:14:00 AM,64.2925,64.295,64.29,64.29,7
9/14/2018 11:13:00 AM,64.305,64.305,64.29,64.2925,19
9/14/2018 11:12:00 AM,64.31,64.31,64.305,64.305,6
9/14/2018 11:11:00 AM,64.3,64.31,64.3,64.31,2
9/14/2018 11:10:00 AM,64.31,64.31,64.3,64.3,1
9/14/2018 11:09:00 AM,64.315,64.315,64.31,64.31,1
9/14/2018 11:08:00 AM,64.3125,64.32,64.3125,64.315,52
9/14/2018 11:07:00 AM,64.31,64.3125,64.31,64.3125,1
9/14/2018 11:06:00 AM,64.3,64.31,64.3,64.31,51
9/14/2018 11:05:00 AM,64.2975,64.305,64.2975,64.3,33
9/14/2018 11:04:00 AM,64.295,64.2975,64.295,64.2975,2
9/14/2018 11:03:00 AM,64.305,64.305,64.295,64.295,9
9/14/2018 11:02:00 AM,64.3,64.305,64.3,64.305,15
9/14/2018 11:01:00 AM,64.29,64.3,64.29,64.3,50
9/14/2018 11:00:00 AM,64.2825,64.29,64.2825,64.29,13
9/14/2018 10:59:00 AM,64.2675,64.2825,64.2675,64.2825,22
9/14/2018 10:58:00 AM,64.2675,64.2775,64.2675,64.2675,7
9/14/2018 10:57:00 AM,64.28,64.28,64.2625,64.2675,58
9/14/2018 10:56:00 AM,64.285,64.285,64.28,64.28,3
9/14/2018 10:55:00 AM,64.285,64.285,64.285,64.285,2
9/14/2018 10:54:00 AM,64.28,64.285,64.2725,64.285,5
9/14/2018 10:53:00 AM,64.29,64.29,64.28,64.28,45
9/14/2018 10:52:00 AM,64.29,64.29,64.29,64.29,21
9/14/2018 10:51:00 AM,64.3025,64.3025,64.29,64.29,35
9/14/2018 10:50:00 AM,64.325,64.325,64.3025,64.3025,87
9/14/2018 10:49:00 AM,64.3225,64.325,64.3225,64.325,1
9/14/2018 10:48:00 AM,64.32,64.325,64.32,64.3225,4
9/14/2018 10:47:00 AM,64.31,64.32,64.31,64.32,88
9/14/2018 10:46:00 AM,64.2975,64.31,64.2975,64.31,353
9/14/2018 10:45:00 AM,64.29,64.2975,64.29,64.2975,49
9/14/2018 10:44:00 AM,64.29,64.29,64.29,64.29,290
9/14/2018 10:43:00 AM,64.29,64.2925,64.29,64.29,94
9/14/2018 10:42:00 AM,64.305,64.305,64.2825,64.2825,166
9/14/2018 10:41:00 AM,64.3,64.305,64.3,64.305,25
